timesteps,episode_reward,episode_cost,episode_len,unsafe_rate,tps,latency,mask_ratio,lagrangian_lambda,constraint_violation
120,150.24738159775734,0.2593939393939394,120,0.0,12736.30203974461,27.228826291682953,0.16993749999999977,0.1,0.0
240,150.24738159775734,0.2593939393939394,120,0.0,12736.30203974461,27.228826291682953,0.1696874999999998,0.1,0.0
360,150.24738159775734,0.2593939393939394,120,0.0,12736.30203974461,27.228826291682953,0.1696874999999998,0.1,0.0
480,150.24738159775734,0.2593939393939394,120,0.0,12736.30203974461,27.228826291682953,0.1696874999999998,0.1,0.0
600,427.61641566455364,0.2593939393939394,120,0.0,12750.654948613843,24.483167685295353,0.1783749999999997,0.09645066287703813,0.0
720,491.01439566910267,0.04444444444444447,120,0.0,12562.027391404747,24.763217853404715,0.1837291666666664,0.09645066287703813,0.0
840,491.01439566910267,0.04444444444444447,120,0.0,12562.027391404747,24.763217853404715,0.1837291666666664,0.09645066287703813,0.0
960,491.01439566910267,0.04444444444444447,120,0.0,12562.027391404747,24.763217853404715,0.1837291666666664,0.09645066287703813,0.0
1080,602.8107198514044,0.04444444444444447,120,0.0,12557.422145749775,24.49962346109485,0.1877916666666665,0.09285760732165073,0.0
1200,709.751598700881,0.04444444444444447,120,0.0,12654.850425306777,23.322049035223152,0.19133333333333313,0.09285760732165073,0.0
1320,709.751598700881,0.04444444444444447,120,0.0,12654.850425306777,23.322049035223152,0.19133333333333313,0.09285760732165073,0.0
1440,709.751598700881,0.04444444444444447,120,0.0,12654.850425306777,23.322049035223152,0.19133333333333313,0.09285760732165073,0.0
1560,665.330177590251,0.04444444444444447,120,0.0,12582.55789942493,23.30011531371916,0.18987499999999982,0.08926455176626333,0.0
1680,684.6232832074165,0.10158730158730163,120,0.0,12494.39346370268,22.327697874480894,0.19310416666666644,0.08926455176626333,0.0
1800,684.6232832074165,0.10158730158730163,120,0.0,12494.39346370268,22.327697874480894,0.19310416666666644,0.08926455176626333,0.0
1920,684.6232832074165,0.10158730158730163,120,0.0,12494.39346370268,22.327697874480894,0.19310416666666644,0.08926455176626333,0.0
2040,684.6232832074165,0.10158730158730163,120,0.0,12494.39346370268,22.327697874480894,0.19310416666666644,0.08926455176626333,0.0
2160,729.6150705516338,0.10158730158730163,120,0.0,12540.49827027891,22.35447735947974,0.1922916666666664,0.08568439303725027,0.0
2280,736.1843795478344,0.10158730158730163,120,0.0,12486.875047003916,22.394766405895204,0.19879166666666642,0.08568439303725027,0.0
2400,736.1843795478344,0.10158730158730163,120,0.0,12486.875047003916,22.394766405895204,0.19879166666666642,0.08568439303725027,0.0
2520,736.1843795478344,0.10158730158730163,120,0.0,12486.875047003916,22.394766405895204,0.19879166666666642,0.08568439303725027,0.0
2640,708.2612635791302,0.10158730158730163,120,0.0,12537.663440327744,23.26749255134782,0.19841666666666644,0.08210026605334134,0.0
2760,709.8605812489986,0.10158730158730163,120,0.0,12465.950176863758,23.406754869294875,0.19454166666666647,0.08210026605334134,0.0
2880,709.8605812489986,0.10158730158730163,120,0.0,12465.950176863758,23.406754869294875,0.19454166666666647,0.08210026605334134,0.0
3000,709.8605812489986,0.10158730158730163,120,0.0,12465.950176863758,23.406754869294875,0.19454166666666647,0.08210026605334134,0.0
3120,696.3756537139416,0.10158730158730163,120,0.0,12431.868387981054,23.36764108031508,0.1957499999999997,0.0785161390694324,0.0
3240,701.3697251975536,0.10158730158730163,120,0.0,12461.311759794871,23.380301689038895,0.19510416666666638,0.0785161390694324,0.0
3360,701.3697251975536,0.10158730158730163,120,0.0,12461.311759794871,23.380301689038895,0.19510416666666638,0.0785161390694324,0.0
3480,701.3697251975536,0.10158730158730163,120,0.0,12461.311759794871,23.380301689038895,0.19510416666666638,0.0785161390694324,0.0
3600,702.6398299634457,0.10158730158730163,120,0.0,12507.496498981733,23.35785909698501,0.19508333333333308,0.07493201208552347,0.0
3720,666.3666462600231,0.12987012987012986,120,0.0,12406.77881330506,23.45374035124405,0.19493749999999962,0.07493201208552347,0.0
3840,666.3666462600231,0.12987012987012986,120,0.0,12406.77881330506,23.45374035124405,0.19493749999999962,0.07493201208552347,0.0
3960,666.3666462600231,0.12987012987012986,120,0.0,12406.77881330506,23.45374035124405,0.19493749999999962,0.07493201208552347,0.0
4080,666.3666462600231,0.12987012987012986,120,0.0,12406.77881330506,23.45374035124405,0.19493749999999962,0.07493201208552347,0.0
4200,701.7346130907536,0.12987012987012986,120,0.0,12362.899071215403,22.682360339415954,0.19287499999999977,0.07135737734502183,0.0
4320,714.0826047062874,0.12987012987012986,120,0.0,12439.620511584548,22.62001507543541,0.19335416666666644,0.07135737734502183,0.0
4440,714.0826047062874,0.12987012987012986,120,0.0,12439.620511584548,22.62001507543541,0.19335416666666644,0.07135737734502183,0.0
4560,714.0826047062874,0.12987012987012986,120,0.0,12439.620511584548,22.62001507543541,0.19335416666666644,0.07135737734502183,0.0
4680,728.9075784981251,0.12987012987012986,120,0.0,12391.928591814294,22.599187615955664,0.1933333333333331,0.06777766955308617,0.0
4800,721.0777113735676,0.12987012987012986,120,0.0,12362.103617000963,22.75612647399457,0.19572916666666645,0.06777766955308617,0.0
4920,721.0777113735676,0.12987012987012986,120,0.0,12362.103617000963,22.75612647399457,0.19572916666666645,0.06777766955308617,0.0
